Open,High,Low,Close,Volume
2020-11-06,37.5000,38.1400,37.0100,37.4700,18089201
2020-11-05,36.9000,37.2500,35.3400,37.1400,35075004
2020-11-04,35.3100,35.7700,34.2300,35.2400,14740620
2020-11-03,35.1000,35.9850,34.8934,35.3500,11439110
2020-11-02,35.1200,35.3849,34.3800,34.5500,14648408
2020-10-30,34.4600,35.0300,33.9600,34.5300,13074624
2020-10-29,34.5100,35.6600,34.3600,34.8900,14230351
2020-10-28,33.7300,34.6300,33.5500,34.0900,15010801
2020-10-27,35.5500,35.8550,34.7500,34.8900,11168566
2020-10-26,36.2700,36.4300,35.2000,35.8200,15448127
2020-10-23,37.4900,38.0300,36.7800,36.8300,16296331
2020-10-22,35.9000,37.4300,35.8800,37.4100,23288870
2020-10-21,36.1000,36.2800,35.1300,35.7700,23277873
2020-10-20,33.9600,36.3650,33.7700,35.6000,38660942
2020-10-19,33.5000,33.8650,33.0500,33.3500,10527294
2020-10-16,32.8800,33.4700,32.6800,33.4500,11956111
2020-10-15,30.9900,32.6900,30.9500,32.5900,11829829
2020-10-14,32.0800,32.2400,31.5300,31.6700,8018000
2020-10-13,32.1300,32.2800,31.4650,31.8700,7842070
2020-10-12,32.3600,32.6700,32.1217,32.2100,6932582
2020-10-09,32.3000,32.6800,32.0150,32.1600,9411657
2020-10-08,31.9000,32.6350,31.7950,32.2100,17323331
2020-10-07,30.8500,31.7600,30.8100,31.6200,11794973
2020-10-06,31.2700,31.4500,30.3000,30.4000,10293663
2020-10-05,30.8500,31.2900,30.8000,30.9600,8314143
2020-10-02,29.6500,30.9000,29.5900,30.4600,9474033
2020-10-01,29.5200,30.5100,29.1500,30.3800,15052939
2020-09-30,28.8900,29.8200,28.8900,29.5900,11523758
2020-09-29,29.2700,29.4000,28.5000,28.7400,7438617
2020-09-28,29.8200,30.0400,29.3800,29.4400,8395670
2020-09-25,28.8600,29.2200,28.5600,29.0000,9350419
2020-09-24,29.0500,29.5850,28.2400,29.1100,12393740
2020-09-23,29.4900,29.9900,29.2001,29.3400,10899715
2020-09-22,29.8500,30.3600,29.3250,29.4400,11106814
2020-09-21,30.3000,30.4200,29.1600,30.0000,20577928
2020-09-18,31.8500,32.0500,31.3600,31.5000,15040936
2020-09-17,31.3100,31.9500,30.9500,31.9200,11459926
2020-09-16,32.6800,32.7900,31.7400,31.7900,16402402
2020-09-15,31.3600,33.1400,30.8250,31.5800,21096305
2020-09-14,30.7200,31.5600,30.5350,31.1800,11972070
2020-09-11,30.3000,30.5700,29.8700,30.4600,13638656
2020-09-10,31.8200,31.8800,30.1400,30.1700,24848223
2020-09-09,32.1100,32.7500,31.7250,31.9500,22376277
2020-09-08,31.7200,33.3300,31.0500,32.3800,52000038
2020-09-04,29.9300,30.3700,29.3550,30.0000,13821989
2020-09-03,30.9300,31.5200,29.1300,29.4800,22358112
2020-09-02,29.8500,31.0900,29.8004,30.9600,16246155
2020-09-01,29.5300,29.8500,29.3400,29.7900,9012046
2020-08-31,30.0200,30.1900,29.6100,29.6300,9585300
2020-08-28,29.8600,30.2250,29.6350,30.0200,9180199
2020-08-27,29.6000,30.2350,29.5200,29.6900,8745402
2020-08-26,29.7800,29.8300,29.1200,29.4800,9740007
2020-08-25,30.4000,30.7300,29.4800,29.6900,13006666
2020-08-24,29.2800,30.7550,28.9900,30.3100,20137882
2020-08-21,28.7400,28.9548,28.4300,28.5600,9841202
2020-08-20,28.7000,29.1700,28.6400,28.8300,9680168
2020-08-19,29.6500,30.0281,29.0800,29.2200,14504204
2020-08-18,30.5500,31.1200,29.7900,29.8400,23102828
2020-08-17,28.6000,30.7750,28.4284,30.0100,33652819
2020-08-14,27.2900,28.1250,27.1500,27.8600,8587722
2020-08-13,27.7300,28.2200,27.5000,27.5500,7586072
2020-08-12,28.9900,29.7500,27.7800,28.0300,10062446
2020-08-11,28.4700,29.3481,28.4350,28.5200,17260203
2020-08-10,26.9100,28.0600,26.8600,27.9800,10853597
2020-08-07,26.4800,26.8100,26.1700,26.7200,8038761
2020-08-06,26.1700,27.1900,26.1500,26.6200,14171812
2020-08-05,26.2000,26.3500,25.8800,26.3300,9252746
2020-08-04,25.8700,26.0300,25.5100,25.8000,15609605
2020-08-03,25.0600,25.7700,24.8200,25.6400,10445588
2020-07-31,25.1200,25.1500,24.4400,24.8900,17784317
2020-07-30,25.1300,25.4600,25.0200,25.2000,16012008
2020-07-29,27.0400,27.0500,24.9300,25.8900,28792147
2020-07-28,25.7800,26.7450,25.6900,26.3300,12854295
2020-07-27,25.8800,25.9200,25.3100,25.7000,16598108
2020-07-24,26.6000,26.8750,26.1100,26.2500,8584829
2020-07-23,26.4400,27.3250,26.3300,26.7600,13653512
2020-07-22,25.8700,26.5000,25.8000,26.3000,10702597
2020-07-21,26.1700,26.4800,25.9700,26.1500,9736454
2020-07-20,26.2100,26.5400,25.7700,26.0100,8661208
2020-07-17,26.9900,27.0000,26.2500,26.4500,8179733
2020-07-16,26.3500,27.1900,26.2600,26.8500,9733035
2020-07-15,26.3200,27.0300,26.1300,26.8800,14887816
2020-07-14,24.8000,25.8500,24.6700,25.6400,16866980
2020-07-13,24.6500,25.1900,24.3700,24.8600,14765552
2020-07-10,23.5500,24.4000,23.3300,24.3900,15648788
