Open,High,Low,Close,Volume
2020-07-29,178.4500,185.4400,178.2700,184.6000,15436643
2020-07-28,178.0100,179.5800,176.0102,176.2700,6125669
2020-07-27,173.9200,178.4600,172.3900,177.9800,6868784
2020-07-24,171.0800,173.6000,169.0800,172.5600,6256092
2020-07-23,178.1500,180.7500,171.9400,173.8600,6999615
2020-07-22,176.1600,179.4900,175.7300,178.4200,4669007
2020-07-21,179.2500,179.4600,174.3200,175.5800,5612366
2020-07-20,174.6500,179.6400,172.6800,178.8200,5996828
2020-07-17,171.5000,174.5600,169.5400,173.9200,7373955
2020-07-16,169.9000,171.3400,166.5000,169.8100,6630594
2020-07-15,172.9900,173.3600,169.0100,172.0600,6698988
2020-07-14,168.7500,172.6000,164.3300,172.3000,10624537
2020-07-13,180.4200,180.6600,170.7400,171.5100,10234780
2020-07-10,181.6300,182.5200,177.1300,178.4000,7583168
2020-07-09,183.4000,183.9900,179.1500,183.2300,6340005
2020-07-08,178.8900,182.6400,178.5000,181.5700,7234385
2020-07-07,177.6900,179.9500,176.3100,177.2800,5529463
2020-07-06,180.2900,181.2400,174.4600,176.1800,8360157
2020-07-02,179.6900,179.8000,176.7200,177.2100,5944556
2020-07-01,174.6250,178.2350,172.5600,177.4300,6871374
2020-06-30,170.7000,174.6900,169.4100,174.2300,6831902
2020-06-29,171.4800,171.4800,165.5600,168.3500,5423702
2020-06-26,173.7100,173.7100,168.6000,170.8700,8158658
2020-06-25,169.0000,172.7800,168.1900,172.5000,6650737
2020-06-24,170.5950,173.4800,164.2900,168.0000,8931751
2020-06-23,172.0000,175.4000,170.4000,172.7900,7693874
2020-06-22,165.5800,170.9000,165.5500,170.2600,7793821
2020-06-19,170.6000,171.1200,164.0100,164.3600,11332668
2020-06-18,164.7200,168.8300,164.3100,168.0500,8583734
